"KW";"Datum";"Bereich";"Aufgabe";"Was habe ich gemacht?";"Ergebnis / Output";"Stunden";"Status";"Problem / Blocker";"Nächster Schritt";"Notizen / Reflexion"
"31";"28.07.2026";"KI / Jobs";"Gap- und Aktionsplan-Generierung zuverlässiger machen";"Versionierte Generierungsverträge, Kategorie-Koordination, Abbruch- und Fehlerklassen, Diagnostik, Sprachpolicy, Job-Arten, Worker-Handler und Exactly-once-nahe Lifecycle-Prüfungen ergänzt.";"Besser beobachtbare, versionierte und wiederholbare AI-Generierung.";"2,5";"Erledigt / weiterentwickelt";"Teilantworten, Schemafehler und abgebrochene Jobs konnten zuvor inkonsistente Endzustände hinterlassen.";"Semantik und Job-Reconciliation weiter härten.";"Fehler wurden in fachliche Klassen überführt, statt nur als allgemeine Providerfehler behandelt."
"31";"28.07.2026";"Architektur / Planung";"Worker-, Corpus- und Freitext-Roadmaps aktualisieren";"Pläne für Dokument-Worker, Corpus-Qualität, Freitextklassifikation und Framework-Wechsel erstellt, erledigte Pläne sauber archiviert und Dokumentationsindex neu geordnet.";"Priorisierte, nachvollziehbare Architektur-Roadmap.";"1,5";"Dokumentiert / geplant";"Viele parallele Pläne waren nicht klar nach erledigt und offen getrennt.";"Progress-Read-Model und Dokumentbibliothek praktisch ausbauen.";"Das Verschieben nach done/pending machte den tatsächlichen Projektstand lesbarer."
"31";"28.07.2026";"Backend / Tutorial";"Organisationsfortschritt als Read-Model bereitstellen";"Progress-Domänenmodell, Service, Contract, Client und API-Route mit Tests aufgebaut.";"Einheitliche Fortschrittsdaten für Tutorial und Navigation.";"1,5";"Erledigt";"Fortschritt war zuvor nur indirekt aus mehreren Workflows ableitbar.";"Frontend an das Read-Model anbinden und Rückgabevertrag vereinfachen.";"Ein separates Read-Model verhindert, dass die UI mehrere Domänen selbst zusammenrechnet."
"31";"28.07.2026";"Dokumente / Gap-Analyse";"Dokumentbibliothek und Gap-Evidenzfluss überarbeiten";"One-time Upload-Verträge, Download, Restore, Retry-Indexing, Versionen und sichere Source-Access-Routen ergänzt. Dokumentmanager und Gap-Dokument-/Review-Schritte angepasst, Dokumentnutzung und Evidenzprojektion getestet.";"Benutzbare Dokumentbibliothek mit klarer Verwendung in Gap-Analysen.";"3,0";"Erledigt / später atomar gehärtet";"Dokumente wurden an mehreren Stellen hochgeladen und ihre Verwendung im Gap-Workflow war nicht eindeutig.";"Gap-API und Hintergrundspeicherung stabilisieren.";"Die Dokumentbibliothek wurde zur zentralen Quelle, der Gap-Workflow wählt daraus nur Eingaben aus."
"31";"29.07.2026";"KI / Gap-Jobs";"Semantik und Lifecycle der Generierungsjobs stabilisieren";"Mehrere Gap- und Action-Plan-Vertragsversionen, Job-Run-Lifecycle, Reconciliation, Metriken, Orphan-Repair, Diagnostik und Release-Versionen umgesetzt. Temperature-Option angepasst und Architektur-/Runbook-Doku ergänzt.";"Fehlertolerantere Generierung mit reparierbaren verwaisten Läufen und versionierter Semantik.";"4,5";"Erledigt / Altversionen später entfernt";"Providerfehler, Abbrüche und veraltete Runs konnten Jobs und AI-Runs auseinanderlaufen lassen.";"Aktuellen Vertrag konsolidieren und alte Versionen später entfernen.";"Viele Zwischenversionen waren für die Entwicklung nützlich, erhöhten aber kurzfristig die Wartungslast."
"31";"29.07.2026";"Gap-Analyse / UX";"Fragebogen-Speicherung und Dokumentdarstellung korrigieren";"Background-Save im Gap-Fragebogen, Dokumente und Findings in Ergebnisansicht sowie zugehörige Tests und API-Dokumentation korrigiert.";"Stabilerer Fragebogen ohne verlorene Antworten und vollständigere Ergebnisdarstellung.";"2,0";"Erledigt";"Autosave-Status und Dokumentprojektion waren nach den Backend-Umbauten nicht mehr konsistent.";"Fortschritts- und Statusmodelle vereinfachen.";"UI-Tests sicherten die Nebenläufigkeit des Autosaves ab."
"31";"29.07.2026";"Organisationen / Action Plan";"Status- und Organisationseinstellungen vereinfachen";"Aktionsplan auf Statusänderungen fokussiert, Organisationsdaten in Sidebar und Switcher korrigiert und unnötiges Begründungsfeld aus AI-Provider-Einstellungen entfernt.";"Schlankere Bedienung für Maßnahmenstatus und konsistentere Organisationsanzeige.";"1,5";"Erledigt";"Nach API- und Schemaänderungen wurden veraltete Organisationsdaten angezeigt und Formfelder passten nicht mehr zum Servicevertrag.";"Navigation, Theme und Hintergrundjobs konsolidieren.";"Unnötige Felder wurden aus UI und Vertrag gemeinsam entfernt."
"31";"30.07.2026";"Frontend / Navigation / Theme";"Remounts reduzieren und Light Mode ausbauen";"Betroffenheitscheck-Routen gruppiert, Sidebar- und Organisationskontext stabilisiert, Hilfe auf Organisationsebene verschoben, Gast-Check gestaltet und Farbtokens in globals.css zentralisiert. Light Mode über die Oberfläche ausgerollt.";"Ruhigere Navigation und konsistentes Hell-/Dunkel-Design.";"3,5";"Erledigt";"Layout-Grenzen und route-spezifische Styles führten zu Remounts und uneinheitlichen Farben.";"Lange Jobs aus dem separaten Worker lösen.";"Stabilität der Layout-Hierarchie war wichtiger als weitere lokale Workarounds."
"31";"30.07.2026";"Jobs / Laufzeit";"Portable Hintergrundjob-Ausführung implementieren";"Job-Execution-Runtime, Drain, Recovery, Abort, After-Response-Wakeup, Worker-Adapter, Vercel-Konfiguration und Tests aufgebaut.";"Jobs konnten sowohl im Worker als auch portabel aus Web-Anfragen angestoßen und wiederaufgenommen werden.";"3,5";"Erledigt / später vertieft";"Ein ausschließlich separater Worker war für lokale und serverlose Umgebungen unpraktisch.";"Job-Polling, Auth-Hot-Path und Retry-Korrektheit vertiefen.";"Die Ausführung wurde von den fachlichen Jobdefinitionen getrennt."
"31";"30.07.2026";"Progress / Gap-UI";"Fortschrittsvertrag und Kategorie-Icons ergänzen";"Progress-API auf boolesche Zustände vereinfacht, Icon-Spalten in Gap-Kategorien ergänzt, Icons durch Services bis in API und UI projiziert und Release-Cache getestet.";"Einfacherer Tutorial-Fortschritt und visuell unterscheidbare Gap-Kategorien.";"2,0";"Erledigt";"Der frühere Progress-Vertrag war für den Frontendbedarf unnötig komplex.";"Gap-Cycles und asynchrone Revisionen planen und umsetzen.";"Schema, Release, Projektion und UI wurden für Icons durchgängig angepasst."
"31";"01.08.2026";"Gap-Analyse / Planung";"Cycle-, Performance- und Async-API planen";"Detaillierten Plan für Analysezyklen, Fortschrittsendpunkte, asynchrone Revisionen, Provider-Limits und Performance-Budgets erstellt.";"Umsetzungsplan für die nächste Gap-API-Generation.";"3,0";"Dokumentiert / geplant";"Bestehende Reassessment-Routen und Jobzustände waren zu fragmentiert.";"Cycle-basierte API und Read-Models implementieren.";"Der Plan bündelte API-, Datenbank-, UI- und Concurrency-Anforderungen in einem Slice."
"31";"02.08.2026";"Gap-Analyse / KI";"Cycle-basierte Gap-API und Provider-Concurrency umsetzen";"Analysezyklen, Evidenz-, History-, Revision- und Progress-Routen, neue Read-Models, Client-Verträge, Provider-Limiter, Job-Handler und Concurrency-Tests implementiert.";"Asynchroner, cycle-basierter Gap-Workflow mit kontrollierter Modellparallelität.";"4,0";"Erledigt / beim Folgerefactor regressiert";"Alte und neue Reassessment-Routen überlappten, Provideraufrufe benötigten globale Begrenzung.";"Schema vereinfachen und nur eine autoritative Persistenzlinie behalten.";"Die neue API wurde breit getestet, zeigte aber zugleich die Last des gewachsenen Schemas."
"31";"02.08.2026";"Datenbank / Refactoring";"Schema und Control-Plane radikal vereinfachen";"Ausführbare Compliance- und Gap-Definitionen aus der Datenbank in Code verlagert, Control-Plane-Tabellen ersetzt und Organisationen, Corpus, Jobs, Reports, Gap-, Applicability- und Action-Plan-Workflows auf das vereinfachte Schema umgestellt. ADRs und Doku bereinigt.";"Kleinere autoritative Datenbasis mit code-eigenen Definitionen und weniger Persistenzschichten.";"5,0";"Erledigt mit Regressionen";"Der breite Cutover beschädigte zunächst Speichern/Erstellen von Betroffenheitscheck und Gap-Analyse sowie Gap- und Aktionsplan-Generierung.";"Regressionen reparieren und Post-Audit-Cleanup durchführen.";"Die Vereinfachung war architektonisch wertvoll, benötigte aber unmittelbare End-to-End-Reparaturen."
"31";"02.08.2026";"Stabilisierung / Lokale KI";"Refactor-Regressionen beheben und lokalen Connector planen";"Speicher-, Erstellungs-, Organisations-Restore-, Gap- und Aktionsplanpfade repariert sowie Audit- und Cleanup-Pläne und ein Design für lokale Modellverbindungen dokumentiert.";"Kernworkflows nach dem Schema-Cutover wieder nutzbar, offene Restarbeiten erfasst.";"1,5";"Teilweise erledigt";"Mehrere abhängige Services verwendeten noch entfernte Tabellen oder alte Verträge.";"Datenbank, Jobs und Uploads systematisch finalisieren.";"Die Regressionen wurden offen dokumentiert und in nachfolgende Deepening-Slices zerlegt."
"32";"03.08.2026";"Backend / Jobs / Uploads";"Persistenz und Hintergrundjobs robust finalisieren";"Atomaren Dokument-Upload, eindeutige Attempt-Identität, durable Retry-Korrektheit, tiefere Jobdefinitionen und Handler sowie Exactly-once-/Fresh-Grounding-Tests umgesetzt.";"Konsistentere Upload-Abschlüsse und wiederholbare Gap-, Action-Plan-, Corpus- und Report-Jobs.";"4,0";"Erledigt";"Retries konnten zuvor doppelte Publikationen oder veraltete Grounding-Ergebnisse erzeugen.";"Job-Polling und Auth-Hot-Path vereinheitlichen.";"Korrektheit wurde über Idempotenzschlüssel, Leases und Datenbanktests abgesichert."
"32";"03.08.2026";"Auth / Organisation Scope / Betrieb";"Hot Paths und Betriebsworkflow vereinfachen";"Job-Polling und After-Response-Wakeup, gemeinsamen Authenticated-Actor, User-Directory-Sync, organisationslokale Berechtigungsabfragen sowie Disposable-Schema-Operator-Workflow umgesetzt und dokumentiert.";"Weniger wiederholte Auth-/Mitgliedschaftsabfragen und reproduzierbarere Datenbanktests.";"3,0";"Erledigt";"Auth und Organisations-Scope wurden zuvor in vielen Services wiederholt aufgelöst, Operator-Schritte waren fehleranfällig.";"Fortschrittsendpunkte für lange Workflows ergänzen.";"Zentrale Scope-Auflösung vereinfachte zahlreiche Services gleichzeitig."
"32";"03.08.2026";"Progress / API";"Fortschritt für Gap- und Aktionsplan-Generierung bereitstellen";"Progress-Routen, Contracts, Clients und Services für Gap-Analyse und Aktionsplan ergänzt und Status-Tests erweitert.";"Pollbare Fortschrittsanzeigen für lange AI-Generierungen.";"1,5";"Erledigt";"Die UI kannte zuvor nur Start und Endzustand langer Jobs.";"PDF-Reports und Systemdokumentation ausbauen.";"Separate Progress-Projektionen halten Jobdetails aus der UI heraus."
"32";"03.08.2026";"Architektur / Dokumentation";"Systemübersicht und Umsetzungspläne aktualisieren";"Systemarchitektur dokumentiert, abgeschlossene Pläne archiviert und konkrete Folgeslices für Uploads, Jobs, Auth, Scope und Workflow-Polish angelegt.";"Aktueller Architekturüberblick und nachvollziehbarer Arbeitsstand.";"1,0";"Erledigt";"Nach dem großen Schemaumbau waren ältere Architekturtexte nicht mehr verlässlich.";"Report-Rendering und Deployment-Umfang konsolidieren.";"Dokumentation wurde direkt nach den Backend-Änderungen aktualisiert."
"32";"04.08.2026";"Reports / PDF";"Compliance-Berichte als PDF rendern";"Report-Snapshot, React-PDF-Renderer, Corporate Theme, Logo und Fonts, lokalisierte rechtliche Referenzen sowie Job-Handler und Renderer-Tests implementiert.";"Gestalteter, reproduzierbarer PDF-Export für Compliance-Ergebnisse.";"4,5";"Erledigt / Input später erweitert";"Rechtsreferenzen, Lokalisierung und serverseitige Font-/Asset-Nutzung mussten deterministisch funktionieren.";"Report-Input-Policy für unterschiedliche Workflowstände erweitern.";"Snapshot und Renderer wurden getrennt getestet, damit fachliche Daten und Layout unabhängig prüfbar bleiben."
"32";"04.08.2026";"Deployment / KI-Konfiguration";"Deployment-Umfang reduzieren und Standardmodell festlegen";"Nicht genutzte separate AI-Host-, Observability- und lokale Compose-Pfade entfernt, Runbooks und Acceptance-Skripte angepasst und OpenAI als Standardprovider im Schema gesetzt.";"Kleinerer, wartbarer Deployment-Stack mit eindeutiger Default-Konfiguration.";"2,0";"Erledigt";"Die zuvor angelegte Infrastruktur war für den aktuellen Projektumfang zu breit.";"Lokale Modellumschaltung über einen einfacheren Weg ermöglichen.";"Bewusstes Zurückschneiden reduzierte Betriebsrisiko nach dem großen Docker-Ausbau."
"32";"06.08.2026";"KI / Modellumschaltung";"Cloud- und lokale Modelle konsistent umschalten";"Embedding-Migration, Provider-Policy, Jobauslösung und Dokument-Reindexierung angepasst, Worker-Aufrufe auf Job-System umgestellt, alte Generation-Verträge entfernt und Grounding/Normalisierung für lokale Modelle korrigiert.";"Aktueller, konsolidierter Generierungsvertrag mit funktionierender Modellumschaltung.";"3,0";"Erledigt / Browser-Relay folgte";"Alte Vertragsversionen und unterschiedliche Providerfähigkeiten führten zu inkompatiblen Outputs und Retrieval-Konfigurationen.";"Lokale Inferenz sicher über den Browser anbinden.";"Das Entfernen alter Versionen verringerte die zuvor entstandene Reliability-Komplexität."
"32";"06.08.2026";"Action Plan / Grounding";"Aktionsplan-Generierung und Guidance reparieren";"Aktuellen Schema- und Promptvertrag korrigiert, Grounding-Kontext für Gap und Maßnahmenplan vereinheitlicht, Diagnostik und Logs ergänzt, Guidance-Datenmodell und Retrieval samt Provisioning-Skript aufgebaut und lokale Finalisierung getestet.";"Wieder funktionierende, besser diagnostizierbare Maßnahmenpläne mit zusätzlicher Umsetzungshilfe.";"5,0";"Erledigt";"Nach Schema- und Vertragsbereinigung scheiterten Action Plans lokal an fehlenden beziehungsweise falsch strukturierten Grounding-Inhalten.";"End-to-End mit Browser-basierten lokalen Modellen qualifizieren.";"Logs und Guidance-Korpus verbesserten sowohl Fehlersuche als auch inhaltliche Nutzbarkeit."
"32";"06.08.2026";"Recht / Distribution";"Datenschutz- und Lizenzunterlagen ergänzen";"Neue Datenschutzerklärung aufgenommen und Skript zur Generierung einer Third-Party-Lizenzseite samt Lizenzdaten und HTML-Ausgabe ergänzt.";"Aktualisierte Datenschutzinformation und reproduzierbare Open-Source-Lizenzübersicht.";"1,5";"Erledigt";"Abhängigkeiten mussten für eine verteilbare Anwendung transparent ausgewiesen werden.";"Lokale Inferenz und Sicherheitsgrenzen dokumentieren.";"Rechtliche Produktartefakte wurden automatisierbar statt manuell gepflegt."
"32";"07.08.2026";"Lokale KI / Browser Relay";"Lokale Modelle über den Browser mit Backend-Jobs verbinden";"Client-Inference-Queue, Claim/Heartbeat/Result/Failure-APIs, Browser-Host und Worker, lokaler Modellclient, Provider-Adapter, Modellsettings, Embedding-Migration, UI-Panel, Jobintegration und umfangreiche Boundary-Tests implementiert.";"Organisationen konnten lokale Browsermodelle nutzen, ohne dass der Server direkt auf localhost zugreifen muss.";"4,5";"Erledigt";"Serverseitiger Zugriff auf das lokale Modell des Nutzers ist technisch nicht möglich und benötigt einen sicheren Relay-Lifecycle.";"Relay-Routen gegen Missbrauch begrenzen und stale Clients behandeln.";"Der Browser wurde bewusst als Ausführungsbrücke modelliert, mit serverseitiger Autorisierung und Jobzuständen."
"32";"07.08.2026";"API-Security / Dokumente";"Relay absichern und PDF-Parsing stabilisieren";"Operation-Rate-Limits und Request-Body-Grenzen für Client-Inference-Routen ergänzt. PDF.js-Polyfills zentral registriert und Parser mit Red-/Green-Tests korrigiert.";"Begrenzte Relay-Endpunkte und stabileres PDF-Parsing im Serverprozess.";"1,5";"Erledigt";"Heartbeat-/Result-Endpunkte waren missbrauchsanfällig, PDF-Parsing scheiterte ohne benötigte Laufzeit-Polyfills.";"Stale Organisationen im Relay bereinigen und End-to-End-Fixtures erzeugen.";"Sicherheits- und Runtime-Probleme wurden mit gezielten Vertragstests abgesichert."
"32";"07.08.2026";"Betrieb / Dokumentation";"Qualifikationsskripte und Projektkonfiguration aufräumen";"Stale CI/CD-Workflows entfernt, Dokumentation an den Browser-Relay angepasst und Seed-/Qualifikationsskripte für Demo-Organisationen und grounded Workflows ergänzt.";"Weniger veraltete Automatisierung und reproduzierbarer End-to-End-Testdatensatz.";"1,0";"Erledigt";"Dokumentation und CI beschrieben noch den entfernten direkten lokalen beziehungsweise separaten AI-Host-Ansatz.";"Backend-Architektur vollständig dokumentieren und Betroffenheitscheck neu gestalten.";"Betriebsdoku wurde auf die tatsächlich implementierte lokale Modellarchitektur zurückgeführt."
"32";"08.08.2026";"Dokumentation / Backend-Architektur";"Aktuellen Backend-Stand vollständig dokumentieren";"Dokumentationspaket zu Systemübersicht, Workflows, Deployment, API-Konventionen und Route-Map, Datenbankschema, Auth, Organisationen, Dokumenten, Corpus, Reports, Storage, Jobs, AI sowie den drei Berechnungsdomänen erstellt.";"Zusammenhängende Backend-Architekturdokumentation als Einstieg und Referenz.";"3,0";"Erledigt";"Ältere Architekturtexte waren nach Schema-, Job- und AI-Umbauten über viele Dateien verteilt und teilweise veraltet.";"Betroffenheitscheck anhand der neuen Architektur und Fachfragen überarbeiten.";"Die Dokumentation spiegelt Services und Datenflüsse wider, nicht nur Ordnerstrukturen."
"32";"08.08.2026";"Betroffenheitscheck / UX und Regeln";"Betroffenheitscheck als Wizard neu entwickeln";"Plan konkretisiert und anschließend Wizard-Flow, Sichtbarkeitslogik, Faktenableitung, Fragebogenformular, Ergebnisdarstellung, Definitionen und NIS2-Release-Fragen überarbeitet. Gast- und Organisationsseiten sowie Journey-, Visibility-, Lineage- und Compiler-Tests ergänzt.";"Geführter, schrittweiser Betroffenheitscheck mit verständlicheren Fragen und konsistenter Regelauswertung.";"5,0";"Erledigt";"Der vorherige Fragebogen war fachlich korrekt, aber zu wenig geführt und hatte Übersetzungs- sowie Sichtbarkeitslücken.";"Gast-Claim, Übersetzungen und lokale Modell-Hosts im integrierten Ablauf nachtesten.";"Wizard-Logik und Fachregeln wurden getrennt getestet, wodurch UX-Änderungen weniger Risiko für die Auswertung haben."
"32";"08.08.2026";"Stabilisierung / Integration";"Wizard- und Relay-Folgefehler beheben";"Seed-/Fixture-Skript korrigiert, stale Organisationen aus dem Client-Inference-Host bereinigt, deutsche/englische Release-Texte konsolidiert, Gast-Layout angepasst und Claim nach Gast-Check im Client repariert.";"Stabiler integrierter Gast- und Organisationsfluss nach dem neuen Wizard.";"2,0";"Erledigt";"Integration zeigte veraltete Organisationszustände, fehlende Übersetzungen und einen fehlerhaften Claim-Clientpfad.";"Report-Erstellung für Organisationen ohne Gap-Analyse ermöglichen.";"Die unmittelbaren Folgefixes zeigen den Wert von End-to-End-Tests nach einem breiten UI-/Regelumbau."
"32";"09.08.2026";"Reports / Workflow";"Berichte bereits nach Betroffenheitscheck ermöglichen";"Report-Input-Policy, Service, Job-Handler, Snapshot und Renderer so erweitert, dass ein Report mit Betroffenheitscheck auch ohne Gap-Analyse erzeugt werden kann. Schema, Contracts, Übersetzungen, Architekturdocs und Tests angepasst.";"PDF-Bericht unterstützt nun partielle Compliance-Stände und weist fehlende Gap-Analyse sauber aus.";"2,5";"Erledigt";"Der Report setzte bisher zwingend eine vorhandene Gap-Revision voraus und blockierte frühe Workflowstände.";"Weitere Reportvarianten und End-to-End-Export prüfen.";"Die Eingabepolicy wurde explizit getestet, statt Sonderfälle nur im Renderer abzufangen."
